site_no,station_nm,dec_long_va,dec_lat_va,drain_area_va,flood_stage,flood_nu,moderate_flood_stage,moderate_flood_nu,major_flood_stage,major_flood_nu,flow_dt,flow_va,stage_dt,stage_va,peak_rank,peak_count,peak_max,peak_max_yr
"02475000","LEAF RIVER NR MCLAIN, MS",-88.80833330,31.10277778,3495,18,2,24,1,28,1,2019-05-26,54100,2019-05-26,34.84,22,79,131000,1900
"02478500","CHICKASAWHAY RIVER AT LEAKESVILLE, MS",-88.54805560,31.14861110,2690,20,2,28,0,31,0,2019-05-20,20700,2019-05-20,25.04,49,82,125000,1900
"02479310","PASCAGOULA RIVER AT GRAHAM FERRY, MS",-88.64138889,30.61055556,8204,16,1,18,0,20,0,2019-05-20,59900,2019-05-20,16.04,16,22,123000,2001
"02488500","PEARL RIVER NR MONTICELLO, MS",-90.08805560,31.55333333,4993,22,2,25,0,33,0,2019-05-20,28700,2019-05-20,23.17,74,97,122000,1979
"02489000","PEARL RIVER NR COLUMBIA, MS",-89.84694440,31.23777778,5720,17,1,23,0,26,0,2019-05-20,32200,2019-05-20,17.46,77,115,165000,1874
"02489500","Pearl River near Bogalusa, LA",-89.82090720,30.79324276,6573.00,18,7,21,0,23,0,2019-05-20,40300,2019-05-20,20.96,51,80,133000,2016
"02492600","Pearl River at Pearl River, LA",-89.73673040,30.38519300,8494.00,14,8,17,0,18,0,-999,-999,2019-05-20,16.80,-999,-999,-999,-999
"03323000","WABASH RIVER AT BLUFFTON, IN",-85.17144440,40.74236110,532,10,1,14,0,18,0,2019-05-27,4430,2019-05-27,11.17,45,65,25000,1913
"03324300","SALAMONIE RIVER NEAR WARREN, IN",-85.45358470,40.71254489,425,12,1,15,0,17,0,2019-05-27,9560,2019-05-27,14.40,13,59,13500,1998
"03325519","MISSISSINEWA RIVER AT RIDGEVILLE, IN",-85.02847220,40.28305556,141,10,2,12,1,15,0,2019-05-26,3050,2019-05-26,12.94,-999,-999,-999,-999
"03332555","TIPPECANOE RIVER AT NORWAY, IN",-86.75888889,40.77863889,1760,11.5,1,14.8,0,16.8,0,2019-05-27,6970,2019-05-27,11.58,-9,8,23700,2009
"03335000","WILDCAT CREEK NEAR LAFAYETTE, IN",-86.82917520,40.44059108,794,10,2,15,0,-999,-999,2019-05-26,5800,2019-05-26,10.98,57,62,25000,1958
"03335500","WABASH RIVER AT LAFAYETTE, IN",-86.89694440,40.42194444,7267,11,6,18,0,26,0,2019-05-27,24500,2019-05-27,13.98,108,114,190000,1913
